"EntityUrn","CiteUrn","CtsUrn","Text","Notes"
"urn:cite:digAth:mentions.work1","urn:cite:digAth:works.work1","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@Δειπνοσοφιστὴς[1]","Δειπνοσοφιστής","Not that the title is singular. Compare it with 1.2a"
"urn:cite:digAth:mentions.work2","urn:cite:digAth:works.work1","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@τῇ[1]-1.1@βίβλῳ[1]","ἡ βίβλος",""
"urn:cite:digAth:mentions.work3","urn:cite:digAth:works.work1","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@τοῦ[1]-1.1@λόγου[1]","ὁ λόγος",""
"urn:cite:digAth:mentions.work4","urn:cite:digAth:works.work1","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@τῆς[3]-1.1@βίβλου[1]","ἡ βίβλος",""
"urn:cite:digAth:mentions.work5","urn:cite:digAth:works.work1","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@τῆς[6]-1.1@βίβλου[3]","",""
